date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-08-04,2023,3,8,4,4,Friday,31,summer,0,0,
2023-08-05,2023,3,8,5,5,Saturday,31,summer,1,0,
2023-08-06,2023,3,8,6,6,Sunday,31,summer,1,0,
2023-08-07,2023,3,8,7,0,Monday,32,summer,0,0,
2023-08-08,2023,3,8,8,1,Tuesday,32,summer,0,0,
2023-08-09,2023,3,8,9,2,Wednesday,32,summer,0,0,
2023-08-10,2023,3,8,10,3,Thursday,32,summer,0,0,
2023-08-11,2023,3,8,11,4,Friday,32,summer,0,0,
2023-08-12,2023,3,8,12,5,Saturday,32,summer,1,0,
2023-08-13,2023,3,8,13,6,Sunday,32,summer,1,0,
2023-08-14,2023,3,8,14,0,Monday,33,summer,0,0,
2023-08-15,2023,3,8,15,1,Tuesday,33,summer,0,0,
2023-08-16,2023,3,8,16,2,Wednesday,33,summer,0,0,
2023-08-17,2023,3,8,17,3,Thursday,33,summer,0,0,
2023-08-18,2023,3,8,18,4,Friday,33,summer,0,0,
2023-08-19,2023,3,8,19,5,Saturday,33,summer,1,0,
2023-08-20,2023,3,8,20,6,Sunday,33,summer,1,0,
2023-08-21,2023,3,8,21,0,Monday,34,summer,0,0,
2023-08-22,2023,3,8,22,1,Tuesday,34,summer,0,0,
2023-08-23,2023,3,8,23,2,Wednesday,34,summer,0,0,
2023-08-24,2023,3,8,24,3,Thursday,34,summer,0,0,
2023-08-25,2023,3,8,25,4,Friday,34,summer,0,0,
2023-08-26,2023,3,8,26,5,Saturday,34,summer,1,0,
2023-08-27,2023,3,8,27,6,Sunday,34,summer,1,0,
2023-08-28,2023,3,8,28,0,Monday,35,summer,0,0,
2023-08-29,2023,3,8,29,1,Tuesday,35,summer,0,0,
2023-08-30,2023,3,8,30,2,Wednesday,35,summer,0,1,День Республики Татарстан
2023-08-31,2023,3,8,31,3,Thursday,35,summer,0,0,
2023-09-01,2023,3,9,1,4,Friday,35,autumn,0,0,
2023-09-02,2023,3,9,2,5,Saturday,35,autumn,1,0,
2023-09-03,2023,3,9,3,6,Sunday,35,autumn,1,0,
2023-09-04,2023,3,9,4,0,Monday,36,autumn,0,0,
2023-09-05,2023,3,9,5,1,Tuesday,36,autumn,0,0,
2023-09-06,2023,3,9,6,2,Wednesday,36,autumn,0,0,
2023-09-07,2023,3,9,7,3,Thursday,36,autumn,0,0,
2023-09-08,2023,3,9,8,4,Friday,36,autumn,0,0,
2023-09-09,2023,3,9,9,5,Saturday,36,autumn,1,0,
2023-09-10,2023,3,9,10,6,Sunday,36,autumn,1,0,
2023-09-11,2023,3,9,11,0,Monday,37,autumn,0,0,
2023-09-12,2023,3,9,12,1,Tuesday,37,autumn,0,0,
2023-09-13,2023,3,9,13,2,Wednesday,37,autumn,0,0,
2023-09-14,2023,3,9,14,3,Thursday,37,autumn,0,0,
2023-09-15,2023,3,9,15,4,Friday,37,autumn,0,0,
2023-09-16,2023,3,9,16,5,Saturday,37,autumn,1,0,
2023-09-17,2023,3,9,17,6,Sunday,37,autumn,1,0,
2023-09-18,2023,3,9,18,0,Monday,38,autumn,0,0,
2023-09-19,2023,3,9,19,1,Tuesday,38,autumn,0,0,
2023-09-20,2023,3,9,20,2,Wednesday,38,autumn,0,0,
2023-09-21,2023,3,9,21,3,Thursday,38,autumn,0,0,
2023-09-22,2023,3,9,22,4,Friday,38,autumn,0,0,
2023-09-23,2023,3,9,23,5,Saturday,38,autumn,1,0,
2023-09-24,2023,3,9,24,6,Sunday,38,autumn,1,0,
2023-09-25,2023,3,9,25,0,Monday,39,autumn,0,0,
2023-09-26,2023,3,9,26,1,Tuesday,39,autumn,0,0,
2023-09-27,2023,3,9,27,2,Wednesday,39,autumn,0,0,
2023-09-28,2023,3,9,28,3,Thursday,39,autumn,0,0,
2023-09-29,2023,3,9,29,4,Friday,39,autumn,0,0,
2023-09-30,2023,3,9,30,5,Saturday,39,autumn,1,0,
2023-10-01,2023,4,10,1,6,Sunday,39,autumn,1,0,
2023-10-02,2023,4,10,2,0,Monday,40,autumn,0,0,
2023-10-03,2023,4,10,3,1,Tuesday,40,autumn,0,0,
2023-10-04,2023,4,10,4,2,Wednesday,40,autumn,0,0,
2023-10-05,2023,4,10,5,3,Thursday,40,autumn,0,0,
2023-10-06,2023,4,10,6,4,Friday,40,autumn,0,0,
2023-10-07,2023,4,10,7,5,Saturday,40,autumn,1,0,
2023-10-08,2023,4,10,8,6,Sunday,40,autumn,1,0,
